customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0000,Male,1,No,No,23,Yes,No,No,No,No,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),19.87,5877.83,No
C0001,Female,1,Yes,No,60,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Two year,No,Bank transfer (automatic),97.32,5417.03,Yes
C0002,Female,1,Yes,No,3,No,No,No,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,34.52,5371.37,Yes
C0003,Male,1,Yes,No,32,No,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),79.07,1771.26,No
C0004,Male,0,No,No,57,No,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,One year,No,Credit card (automatic),87.47,4932.02,No
C0005,Female,1,Yes,Yes,68,No,Yes,DSL,No internet service,No,No internet service,Yes,No,No,One year,Yes,Mailed check,46.5,5323.82,No
C0006,Male,1,Yes,No,18,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,76.07,4856.18,No
C0007,Female,1,Yes,Yes,47,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,42.51,1597.03,Yes
C0008,Male,1,No,No,14,No,Yes,No,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),114.52,6151.0,Yes
C0009,Male,1,No,No,9,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),105.74,639.25,No
C0010,Female,0,Yes,Yes,26,No,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,47.38,5032.56,No
C0011,Female,1,Yes,No,63,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),71.94,3718.35,No
C0012,Female,0,Yes,Yes,49,No,No,No,Yes,No internet service,No,Yes,No,No internet service,Two year,Yes,Mailed check,69.06,2140.93,Yes
C0013,Female,0,No,No,35,No,No,Fiber optic,No,No,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),115.92,6866.27,No
C0014,Female,1,No,Yes,21,No,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,58.19,1509.92,No
C0015,Female,1,Yes,Yes,11,No,Yes,No,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),75.35,7931.55,Yes
C0016,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,112.73,7520.88,Yes
C0017,Male,0,No,Yes,11,No,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),34.61,3076.5,No
C0018,Female,0,No,No,14,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,74.15,2606.31,No
C0019,Male,0,Yes,No,49,No,No phone service,DSL,No,Yes,No,No,No internet service,No,One year,No,Bank transfer (automatic),28.78,1184.16,No
C0020,Female,0,Yes,Yes,10,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,One year,Yes,Mailed check,80.98,7790.29,No
C0021,Male,0,No,Yes,4,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),55.3,5340.73,No
C0022,Male,1,No,Yes,39,No,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),116.7,287.59,Yes
C0023,Female,1,No,Yes,21,Yes,No phone service,No,Yes,No,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),60.37,4352.3,No
C0024,Female,1,Yes,Yes,33,No,No,DSL,Yes,No internet service,Yes,Yes,No internet service,No internet service,One year,Yes,Electronic check,31.89,745.75,No
C0025,Female,0,Yes,No,10,Yes,No phone service,No,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.07,4884.55,No
C0026,Male,0,No,Yes,15,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,101.73,4335.01,No
C0027,Female,0,No,No,32,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No,No internet service,Two year,No,Mailed check,88.88,720.7,No
C0028,Female,1,No,Yes,49,No,No,Fiber optic,No,No,No internet service,No,No,Yes,Two year,Yes,Electronic check,94.38,6938.13,Yes
C0029,Male,0,Yes,No,30,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,45.0,2242.97,No
C0030,Male,0,No,No,39,Yes,No phone service,No,Yes,Yes,Yes,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),83.49,4610.87,No
C0031,Male,0,Yes,Yes,38,No,No phone service,No,No,Yes,Yes,No internet service,Yes,No,Two year,No,Electronic check,21.88,5438.33,Yes
C0032,Male,1,Yes,No,20,Yes,No phone service,No,No,No,No internet service,No,No internet service,No,One year,Yes,Bank transfer (automatic),38.08,8180.27,No
C0033,Female,0,No,Yes,20,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No internet service,One year,No,Credit card (automatic),113.09,4206.51,No
C0034,Female,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No,No,No internet service,One year,Yes,Electronic check,93.4,7798.67,Yes
C0035,Male,1,No,No,3,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),41.53,3027.9,No
C0036,Female,1,No,No,49,No,No,DSL,No internet service,No,No,No,No,No internet service,One year,No,Mailed check,29.36,7290.78,No
C0037,Female,0,Yes,Yes,44,No,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,114.79,2018.28,No
C0038,Male,0,No,Yes,22,No,No,No,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),29.44,6018.84,No
C0039,Female,1,Yes,Yes,27,Yes,Yes,No,No internet service,Yes,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),44.22,769.61,No
C0040,Male,1,Yes,Yes,24,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,One year,No,Bank transfer (automatic),36.63,8381.68,No
C0041,Female,1,No,Yes,47,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,18.76,8109.29,No
C0042,Female,0,No,Yes,54,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),50.04,3768.86,Yes
C0043,Male,0,No,No,8,No,No phone service,No,Yes,No,No internet service,Yes,No internet service,No,Two year,Yes,Mailed check,117.37,4462.02,No
C0044,Male,1,Yes,Yes,30,No,No,No,No,No internet service,No,Yes,No internet service,No,Two year,Yes,Mailed check,52.87,5088.33,Yes
C0045,Female,0,No,No,1,Yes,No,DSL,Yes,No internet service,No internet service,No,Yes,Yes,One year,Yes,Credit card (automatic),69.44,2350.87,No
C0046,Male,0,Yes,No,33,No,Yes,Fiber optic,No,No internet service,No,No,No,No internet service,Two year,No,Electronic check,94.09,5738.87,No
C0047,Female,1,No,No,18,No,No,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,74.21,5943.2,No
C0048,Female,1,No,Yes,24,Yes,Yes,No,No internet service,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,93.85,4471.7,No
C0049,Female,0,No,No,33,No,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,85.49,1271.14,No
C0050,Female,1,Yes,No,23,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.07,7814.54,No
